Course Title,Description
ARB 301.  Advanced Modern Standard Arabic I.  3 Credits.,"An advanced course in Arabic language. It emphasizes a skill-building approach that covers the essentials of listening, speaking, reading, writing, structure, and understanding, and analyzes cultural patterns reflected in language use of speakers of Arabic. Pre / Co requisites: ARB 301 requires prerequisite ARB 202 . Typically offered in Fall."
ARB 302.  Advanced Modern Standard Arabic II.  3 Credits.,This course builds on ARB 301 in that it emphasizes reading and writing skills. It also focuses on helping students acquire content to express critical thinking skills using Arabic. Pre / Co requisites: ARB 302 requires prerequisite ARB 301 . Typically offered in Spring.
ARB 420.  Topics in Arabic Language Literature and Culture.  1-6 Credits.,"This course offers students the opportunity to expand on concepts taught in previous courses by offering a topics-based focus to further students skills in the domains of Arabic language, literature, and culture. Pre / Co requisites: ARB 420 requires a prerequisite of ARB 301 or ARB 302 . Distance education offering may be available. Typically offered in Fall, Spring, Summer, Winter. Repeatable for Credit."
ARC 391.  Woodwind Repertoire Class.  0.5 Credits.,Contact department for more information about this course. Repeatable for Credit.
ARC 392.  Brass Repertoire Class.  0.5 Credits.,Contact department for more information about this course. Repeatable for Credit.
ARC 393.  String Repertoire Class.  0.5 Credits.,Contact department for more information about this course. Repeatable for Credit.
ARC 394.  Percussion Repertoire Class.  0.5 Credits.,Contact department for more information about this course. Repeatable for Credit.
ARH 101.  Survey of the Visual Arts.  3 Credits.,"An introduction to painting, sculpture, architecture, and the decorative arts with emphasis on understanding the visual arts as universal human expression. Gen Ed Attribute: Arts Distributive Requirement. Distance education offering may be available. Typically offered in Fall & Spring."
ARH 103.  Art History I: Paleolithic-Middle Ages.  3 Credits.,Survey of significant art and architectural monuments from prehistory through the Middle Ages. Gen Ed Attribute: Arts Distributive Requirement. Typically offered in Fall & Spring.
ARH 104.  Art History II: Renaissance through Modern Day.  3 Credits.,Continuation of ARH 103 . The Renaissance through the 20th century. Gen Ed Attribute: Arts Distributive Requirement. Typically offered in Fall & Spring.
ARH 199.  Transfer Credits.  1-10 Credits.,transfer credits. Typically offered in Fall & Spring. Repeatable for Credit.
ARH 210.  Non-Western Art.  3 Credits.,"Introduction to art produced outside the European tradition.  Cultures include Africa, India, Asia, the Pacific Islands, and the Americas. Gen Ed Attribute for Students Admitted Prior to Fall 2020: Arts Distributive Requirement, Writing Emphasis. Gen Ed Attribute for Students Admitted Fall 2020 and After: Writing Emphasis . Typically offered in Fall & Spring."
ARH 220.  Introduction to Latin American Art.  3 Credits.,"This course provides an introduction to the art, architecture, and visual culture of Latin America from the colonial to the contemporary period. The course begins with an overview of ancient indigenous (Pre-Columbian) art of Mesoamerica and the Andes, followed by an exploration of art of the colonial era when native artists adapt their styles and techniques to reflect European artistic trends. The course will conclude with an examination of 19th and 20th century art when artists responded to changing political and cultural movements and through interactions with modern and contemporary artistic trends from abroad. Gen Ed Attribute: Foreign Language Culture Cluster, Spanish Culture Cluster, Writing Emphasis. Typically offered in Spring."
ARH 300.  History of Graphic Design.  3 Credits.,This course presents a survey of graphic design through the 21st century. Students will examine the ever-shifting role of the graphic designer throughout history; how designers have drawn from past inspiration to create work that resonates with contemporary audiences in fresh ways; and we will consider how formal qualities play an essential role in how meaning is conveyed. Distance education offering may be available. Typically offered in Spring.
"ARH 381.  Art of the Ancient Near East, Egypt, and the Aegean.  3 Credits.","A survey of the art and architecture of the Near East, Egypt, and the Aegean from the end of the prehistoric period, ca. 3000 B.C., to the Iron Age, ca. 1000 B.C. Starting with the origins of civilization in Mesopotamia and Egypt, it traces the rise of cities and the development of complex art and architecture to the emergence of Minoan and Mycenaean cultures in Greece. Art and artifacts will be examined with a focus on the social, political, and religious contexts in which they were created. Gen Ed Attribute for Students Admitted Prior to Fall 2020: Arts Distributive Requirement, Writing Emphasis. Gen Ed Attribute for Students Admitted Fall 2020 and After: Writing Emphasis . Typically offered in Fall & Spring."
ARH 382.  Art of Greece and Rome.  3 Credits.,"The art and architecture of the Greeks, Etruscans, and Romans. Gen Ed Attribute: Classical Civilizations Culture Cluster, Foreign Language Culture Cluster. Typically offered in Fall & Spring."
ARH 383.  Medieval Art.  3 Credits.,"This course will introduce students to the visual arts of the Medieval period and will enable students to think critically about how art and architecture was used as a means of communicating religious, social, cultural, and political ideas. Works of art and architecture will be examined in their original physical, geographical, sociological, and historical contexts. At the same time, students will consider how Medieval art and architecture still has resonance and meaning in the contemporary world. Gen Ed Attribute: Foreign Language Culture Cluster, France & Francophone Area Culture Cluster, Writing Emphasis. Typically offered in Spring."
